PPG (Pulse)	Respiration (SS5LB)
-0.10498	-3.1601
-0.108032	-3.15491
-0.113586	-3.14972
-0.121399	-3.14423
-0.13147	-3.13873
-0.144287	-3.13354
-0.160217	-3.12805
-0.179749	-3.12256
-0.202576	-3.11707
-0.228394	-3.11188
-0.256042	-3.10669
-0.284851	-3.1015
-0.314331	-3.09601
-0.344299	-3.09021
-0.374756	-3.08472
-0.406555	-3.07922
-0.439514	-3.07404
-0.473633	-3.06915
-0.506897	-3.06427
-0.537903	-3.05908
-0.56604	-3.05359
-0.591675	-3.04779
-0.615906	-3.0426
-0.640198	-3.03741
-0.664307	-3.03223
-0.687439	-3.02673
-0.708313	-3.02155
-0.727661	-3.01636
-0.746033	-3.01117
-0.76239	-3.00598
-0.775146	-3.00079
-0.784912	-2.99561
-0.793457	-2.99072
-0.802124	-2.98553
-0.809326	-2.98065
-0.813904	-2.97546
-0.816223	-2.97028
-0.81781	-2.96478
-0.819702	-2.95959
-0.821655	-2.95441
-0.82312	-2.94922
-0.823669	-2.94434
-0.823059	-2.93915
-0.821289	-2.93427
-0.818176	-2.92908
-0.814575	-2.92389
-0.81073	-2.9187
-0.807068	-2.91351
-0.803345	-2.90802
-0.799133	-2.90314
-0.794495	-2.89825
-0.78949	-2.89398
-0.783997	-2.88971
-0.777771	-2.88483
-0.770996	-2.87964
-0.76355	-2.87445
-0.75531	-2.86926
-0.746399	-2.86407
-0.737061	-2.85858
-0.727783	-2.85339
-0.717224	-2.84821
-0.704834	-2.84363
-0.690491	-2.83905
-0.675537	-2.83447
-0.661743	-2.8299
-0.649841	-2.82532
-0.64032	-2.82043
-0.633606	-2.81555
-0.630005	-2.81097
-0.628845	-2.8064
-0.628052	-2.80151
-0.625732	-2.79694
-0.620239	-2.79205
-0.612183	-2.78717
-0.603088	-2.78229
-0.593079	-2.7774
-0.581055	-2.77252
-0.563538	-2.76764
-0.536133	-2.76276
-0.492737	-2.75787
-0.426636	-2.75299
-0.332947	-2.7478
-0.210693	-2.74323
-0.0626831	-2.73865
0.105835	-2.73376
0.287659	-2.72919
0.473938	-2.7243
0.656128	-2.71973
0.828613	-2.71545
0.988037	-2.71088
1.13324	-2.7066
1.2627	-2.70172
1.37634	-2.69714
1.47375	-2.69226
1.55493	-2.68738
1.61914	-2.68219
1.66693	-2.67761
1.69958	-2.67303
1.71747	-2.66907
1.7204	-2.66449
1.70929	-2.66022
1.68671	-2.65564
1.65631	-2.65106
1.61957	-2.64679
1.57672	-2.64191
1.52759	-2.63702
1.47253	-2.63153
1.41144	-2.6239
1.34497	-2.61261
1.27441	-2.59827
1.20117	-2.58026
1.12518	-2.54547
1.04602	-2.46033
0.963806	-2.28027
0.879333	-1.98761
0.79303	-1.61102
0.7052	-1.21063
0.615784	-0.837402
0.525696	-0.508118
0.435669	-0.214233
0.348267	0.057373
0.264893	0.316772
0.184631	0.570374
0.105164	0.822144
0.0263672	1.073
-0.0495605	1.31744
-0.120056	1.54724
-0.18512	1.75629
-0.245667	1.94214
-0.302368	2.10693
-0.355225	2.25647
-0.403137	2.39685
-0.444702	2.53235
-0.478943	2.66388
-0.505981	2.79022
-0.527832	2.91077
-0.546326	3.02521
-0.561768	3.13568
-0.572937	3.24677
-0.578796	3.36029
-0.578979	3.47321
-0.574524	3.5788
-0.566223	3.6731
-0.554077	3.7561
-0.537354	3.83057
-0.516541	3.89893
-0.493286	3.9624
-0.469299	4.02252
-0.444519	4.08051
-0.418518	4.13757
-0.391785	4.19464
-0.366638	4.2511
-0.344238	4.30603
-0.324585	4.35822
-0.306641	4.40643
-0.290283	4.4516
-0.276062	4.49585
-0.264343	4.54224
-0.25531	4.59259
-0.248901	4.64844
-0.245728	4.70856
-0.246033	4.77112
-0.249573	4.83276
-0.255493	4.89075
-0.263184	4.94385
-0.272156	4.99329
-0.282837	5.0412
-0.296082	5.08728
-0.311951	5.13123
-0.329407	5.1712
-0.346008	5.2063
-0.361389	5.23682
-0.376831	5.26276
-0.394104	5.28534
-0.413269	5.30518
-0.433105	5.32349
-0.452271	5.34149
-0.470703	5.36011
-0.488586	5.37994
-0.505737	5.40131
-0.522034	5.42389
-0.536865	5.448
-0.550354	5.47272
-0.562622	5.49835
-0.573242	5.5246
-0.582031	5.55176
-0.588867	5.58197
-0.594666	5.61737
-0.59967	5.66071
-0.603516	5.71014
-0.605835	5.7608
-0.607117	5.80719
-0.607727	5.84686
-0.607849	5.87952
-0.607788	5.90637
-0.608459	5.92773
-0.609619	5.94391
-0.610107	5.95673
-0.608521	5.96893
-0.605469	5.98267
-0.602478	5.99945
-0.60022	6.01715
-0.598328	6.03302
-0.596497	6.04492
-0.594421	6.05316
-0.592102	6.05865
-0.588867	6.06201
-0.584656	6.06476
-0.579285	6.06781
-0.573364	6.07086
-0.567383	6.07605
-0.561951	6.08612
-0.556519	6.10413
-0.551147	6.12793
-0.545898	6.15356
-0.540527	6.17645
-0.534302	6.19446
-0.526978	6.20789
-0.518799	6.21796
-0.510864	6.2262
-0.502808	6.23291
-0.494446	6.23901
-0.48584	6.2442
-0.477234	6.24847
-0.468506	6.25122
-0.458374	6.25305
-0.44458	6.25519
-0.423157	6.25763
-0.387634	6.26343
-0.331909	6.27808
-0.250427	6.30402
-0.140747	6.33698
-0.00482178	6.36841
0.151855	6.39343
0.32196	6.41235
0.498474	6.42731
0.674744	6.43921
0.843811	6.44806
1.00024	6.45386
1.14136	6.4566
1.26666	6.4566
1.37585	6.45447
1.46832	6.45111
1.54395	6.44775
1.6037	6.44592
1.64874	6.44592
1.68066	6.44684
1.70062	6.44806
1.70874	6.44897
1.70483	6.4505
1.68909	6.45294
1.66278	6.4566
1.62769	6.46179
1.58466	6.4679
1.53467	6.474
1.47858	6.4798
1.41803	6.48468
1.35272	6.48865
1.28271	6.49109
1.20709	6.492
1.12671	6.4917
1.0437	6.49109
0.959534	6.49048
0.87384	6.49048
0.786011	6.49017
0.69574	6.48926
0.605835	6.48712
0.517456	6.48438
0.430237	6.48376
0.342224	6.48712
0.253113	6.49414
0.164185	6.50269
0.0783081	6.51184
-0.00219727	6.52283
-0.0754395	6.53687
-0.138245	6.55273
